CLUSTER,30046-001,30046-002,30046-003,30046-004,30046-005,30046-006,30046-007,30046-009,30046-010,30046-011,30046-012,30046-013,30046-014,30046-015,30046-017,30046-018,30046-019,30046-020,30046-021,30046-022,30046-023
Cluster-4907.0,366,192,391,371,363,189,1555,250,343,258,143,2507,187,280,155,320,337,185,366,204,385
Cluster-4908.0,2,1,1,4,5,1,2,6,0,1,0,2,1,0,0,2,0,7,5,0,17
Cluster-4909.0,6,17,7,10,6,3,1,1,0,5,3,5,5,0,3,0,5,17,5,16,0
Cluster-4910.0,18,13,8,15,24,8,9,6,6,11,6,5,6,16,8,14,9,19,6,6,8
Cluster-4911.0,6,2,2,0,3,2,5,1,6,5,2,7,6,8,7,5,5,11,12,3,13
Cluster-4912.0,17,43,34,19,39,18,36,27,30,19,34,116,19,61,41,50,9,34,20,51,31
Cluster-4913.0,5244,25330,10852,8353,4181,18506,335,11808,1676,6496,12800,4571,4660,9727,11105,23678,305,12270,5598,2935,627
Cluster-4914.0,3,2,5,7,0,0,0,1,1,1,1,0,2,2,1,1,3,2,2,0,0
Cluster-4915.0,127,172,127,157,288,252,34,182,73,98,221,113,67,179,154,186,115,156,102,367,33
Cluster-4916.0,1,3,0,1,0,7,10,3,2,2,6,3,0,1,6,2,3,7,0,0,7
Cluster-4917.0,175,76,120,193,95,129,105,88,81,153,86,33,85,145,108,194,215,70,91,52,59
Cluster-4918.0,11,32,28,17,92,80,42,32,75,74,72,25,16,17,23,26,16,16,18,5,52
Cluster-4919.0,8,2,4,1,16,3,16,10,6,5,0,1,6,3,2,0,30,0,5,4,1
Cluster-4920.0,1005,1327,1115,1001,2556,1669,1232,1224,607,1250,2464,929,828,1378,775,2259,1310,1077,690,1540,657
Cluster-4921.0,2,4,5,3,3,6,14,1,3,1,2,5,0,3,0,2,0,6,2,8,11
Cluster-4922.0,24,9,15,20,16,12,5,32,16,1,33,25,7,22,18,17,9,22,6,30,9
Cluster-4923.0,2,2,2,0,10,1,8,13,7,5,10,16,5,4,16,0,18,3,0,17,8
Cluster-4924.0,6,29,11,1,7,7,0,5,12,12,25,9,0,36,2,20,5,17,20,4,2
Cluster-4925.0,10,12,14,24,14,17,33,12,0,15,5,8,7,8,4,36,11,7,3,7,18
Cluster-4926.0,48,12,31,34,17,17,24,19,9,20,11,7,8,20,14,33,32,11,7,22,6
Cluster-4927.0,10,32,25,37,32,70,18,124,21,6,50,110,12,20,303,40,17,186,9,64,0
Cluster-4928.0,11,7,10,5,1,3,2,7,6,8,18,12,13,5,20,13,5,3,8,9,6
Cluster-4929.0,2,2,4,6,13,7,17,4,1,8,5,2,3,13,4,9,3,3,2,6,4
Cluster-4930.0,75,53,109,62,918,663,123,80,73,219,198,70,72,115,92,305,62,110,84,196,36
Cluster-4931.0,37,26,31,9,10,27,24,28,18,27,27,13,11,26,46,19,25,30,8,30,22
Cluster-4932.0,168,223,292,264,766,555,221,274,210,325,372,211,112,217,192,313,223,450,181,130,815
Cluster-4933.0,37,34,58,65,22,28,25,52,40,32,75,98,17,17,26,66,50,29,21,22,41
Cluster-4934.0,7,2,2,4,1,0,1,2,0,4,1,1,0,5,2,7,2,4,0,2,2
Cluster-4935.0,3,6,1,15,2,14,4,0,17,16,4,33,11,22,26,0,0,0,1,16,5
Cluster-4936.0,7,3,5,9,4,7,11,5,8,1,8,3,4,4,2,2,12,2,4,11,2
Cluster-4937.0,10407,7239,12892,17678,18685,23273,19119,18280,9883,15602,15329,6839,18034,28721,8899,22700,18816,20505,15210,10494,33225
Cluster-4938.0,4,4,14,0,0,11,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0
Cluster-4939.0,24,31,37,44,110,138,59,38,28,47,33,21,11,28,38,53,51,32,30,31,58
Cluster-4940.0,1,2,13,7,34,17,13,3,8,11,17,9,9,23,0,44,2,12,0,33,9
Cluster-4941.0,21,25,29,52,35,16,46,45,28,19,26,41,15,36,41,34,41,52,37,16,197
Cluster-4942.0,2,4,5,0,0,3,0,7,15,0,7,3,0,12,9,0,0,4,9,6,0
Cluster-4943.0,1052,5225,3663,3487,1380,8085,174,2600,295,1806,3864,858,1531,4168,3330,4891,95,4204,1428,874,134
Cluster-4944.0,6,7,2,0,10,17,8,3,0,0,8,1,4,7,4,13,0,18,3,3,11
Cluster-4945.0,11,11,10,7,12,12,17,5,19,12,21,14,4,17,8,48,7,23,17,9,17
Cluster-4946.0,1,0,2,5,0,2,1,0,5,0,4,6,6,3,0,2,1,0,5,3,0
Cluster-4947.0,30,34,30,39,149,97,62,43,41,77,62,44,53,55,49,87,38,44,41,85,62
Cluster-4948.0,5,5,0,7,10,9,13,1,8,2,0,1,1,5,0,5,6,7,0,2,4
Cluster-4949.0,5,12,24,19,335,93,129,35,29,52,93,30,77,71,8,131,65,18,30,104,80
Cluster-4950.0,7,0,6,10,3,1,0,0,3,6,3,0,4,1,0,0,0,0,0,0,0
Cluster-4951.0,3,4,2,2,0,2,1,1,2,4,0,1,2,4,0,3,2,2,2,0,2
Cluster-4952.0,70,61,99,74,65,81,132,48,65,90,68,37,111,59,87,89,90,77,121,42,103
Cluster-4953.0,7,3,3,4,3,0,5,0,3,0,0,4,3,8,8,7,5,2,1,3,0
Cluster-4954.0,2,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,3,0,1,2,0
Cluster-4955.0,4,13,3,24,11,17,15,16,8,16,5,13,4,7,14,9,32,2,13,4,29
Cluster-4956.0,5,0,0,1,1,0,4,2,0,3,0,0,4,0,0,0,1,0,0,0,0
Cluster-4957.0,8,2,6,4,0,1,5,0,4,0,2,23,0,3,2,15,10,11,7,1,15
Cluster-4958.0,7,0,0,5,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Cluster-4959.0,955,2050,3454,2361,1246,1649,2079,1979,2368,1659,902,2541,1463,1578,1798,1891,2099,1956,1987,2204,2664
Cluster-4960.0,4,9,16,0,8,5,0,39,0,11,5,8,0,27,10,0,8,1,2,15,15
Cluster-4961.0,23221,16052,39979,68596,55155,56653,54428,58055,31797,40974,32588,17994,40993,112424,28233,79904,46425,91973,39457,24022,98359
Cluster-4962.0,41,23,7,11,41,8,26,17,9,24,48,12,0,19,7,68,15,62,14,31,20
Cluster-4963.0,6,3,18,38,0,0,0,3,15,12,8,4,0,15,8,7,4,19,5,2,7
Cluster-4964.0,91,56,50,33,27,50,5,57,2,38,132,123,16,39,94,45,45,66,28,79,10
Cluster-4965.0,13,10,1,17,4,1,10,2,0,1,1,6,2,6,0,7,0,2,0,2,6
Cluster-4966.0,7,14,11,5,32,25,10,15,2,42,19,2,7,39,6,66,8,1,11,60,5
Cluster-4967.0,4,2,0,3,1,1,2,4,0,2,0,0,3,4,1,2,4,0,0,0,2
Cluster-4968.0,39,19,39,32,16,0,14,12,0,0,62,60,10,34,49,35,11,40,14,63,19
Cluster-4969.0,6,54,29,19,856,60,175,18,49,48,272,73,136,23,3,23,94,10,48,112,67
Cluster-4970.0,76059,140455,132531,200244,165822,247506,329478,126990,233636,151234,155370,136964,132068,104348,98956,178528,171155,107801,189928,111169,283714
Cluster-4971.0,2,6,7,0,0,9,5,2,1,0,0,3,1,0,5,4,3,4,6,0,3
Cluster-4972.0,5,2,7,0,0,1,0,1,0,0,0,0,0,0,2,2,2,5,2,6,0
Cluster-4973.0,3,0,1,2,5,0,1,1,1,0,1,0,1,1,4,4,0,0,1,1,0
Cluster-4974.0,13,15,5,7,0,1,27,13,0,0,13,11,0,5,0,6,4,0,17,13,4
Cluster-4975.0,124,84,232,53,189,77,455,123,106,78,46,977,41,99,92,74,152,99,149,78,122
Cluster-4976.0,6,2,5,8,2,10,5,4,2,6,0,1,2,8,2,0,9,4,0,3,1
Cluster-4977.0,30,38,20,45,147,99,44,42,10,43,91,31,105,73,44,76,39,55,44,77,42
Cluster-4978.0,77,64,76,73,303,207,88,49,18,123,276,75,29,166,45,181,116,62,55,81,46
Cluster-4979.0,227,239,140,185,325,303,100,264,105,159,183,228,99,306,219,329,171,124,128,340,89
Cluster-4980.0,12,11,10,7,6,9,2,8,5,8,8,1,7,6,11,23,10,7,2,9,2
Cluster-4981.0,1,0,0,0,0,0,1,2,4,1,0,1,0,6,0,0,0,0,0,0,0
Cluster-4982.0,1,0,2,0,6,5,4,0,2,3,7,1,3,0,3,3,1,2,2,2,1
Cluster-4983.0,7,41,7,17,5,21,0,39,0,18,12,14,5,23,8,32,0,22,9,8,3
Cluster-4984.0,1,5,2,0,0,0,0,0,0,3,1,1,0,0,0,0,2,6,0,1,0
Cluster-4985.0,47,64,95,84,31,92,66,88,55,40,104,94,73,65,58,95,31,104,59,84,55
Cluster-4986.0,3,2,0,0,2,4,1,1,1,3,1,1,0,3,0,1,3,2,1,1,1
Cluster-4987.0,6,1,9,7,0,11,8,5,9,10,0,0,6,0,1,0,3,7,0,2,16
Cluster-4988.0,86,60,160,58,450,488,171,86,46,193,181,41,86,119,60,263,104,76,91,89,107
Cluster-4989.0,16,24,31,29,26,28,26,24,28,52,35,18,34,38,51,30,53,62,65,477,48
Cluster-4990.0,8,12,30,28,58,53,30,19,16,37,25,7,11,12,16,45,50,17,27,6,31
Cluster-4991.0,13,20,39,37,295,141,45,34,19,30,42,11,37,24,20,78,48,30,68,20,48
Cluster-4992.0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,8,0,0,1,0
Cluster-4993.0,37,40,78,76,218,219,108,45,40,105,133,68,57,90,61,126,42,49,28,83,66
Cluster-4994.0,2,3,0,3,3,5,0,1,0,3,7,1,0,1,1,4,0,1,1,1,0
Cluster-4995.0,20,6,4,4,25,12,2,3,2,12,7,5,5,13,6,8,7,16,7,7,4
Cluster-4996.0,1,1,1,2,2,3,0,3,0,0,0,0,0,1,0,1,0,0,2,0,0
Cluster-4997.0,2,0,2,1,0,1,2,1,1,1,2,2,0,0,1,5,3,0,1,0,0
Cluster-4998.0,19,7,5,8,32,27,2,7,8,6,27,4,19,6,8,22,13,4,10,17,6
Cluster-4999.0,3,4,3,1,1,0,2,2,1,1,2,1,4,3,0,4,2,2,0,1,0
Cluster-5000.0,8,21,14,59,47,47,32,26,0,23,20,18,12,32,20,7,12,19,33,29,37
Cluster-5001.0,1624,2901,2763,2363,2473,3598,3729,3013,2447,2578,2666,3229,1427,2030,2488,3300,3191,1596,2063,3475,3731
Cluster-5002.0,12,0,11,10,9,0,16,2,0,3,10,1,5,0,7,3,2,5,8,5,12
Cluster-5003.0,4,1,1,1,8,0,1,1,1,2,1,1,0,3,1,9,2,0,0,1,2
Cluster-5004.0,24,21,32,17,6,2,9,19,13,7,21,20,17,18,39,24,24,22,12,27,4
Cluster-5005.0,3,2,1,3,0,5,1,1,0,2,0,0,2,2,0,6,0,1,0,2,0
Cluster-5006.0,25,14,25,9,142,67,91,17,25,58,19,4,37,198,3,87,29,31,48,121,47
Cluster-5007.0,2,0,0,3,0,2,2,0,3,2,2,1,1,1,1,2,2,0,1,4,2
Cluster-5008.0,9393,33407,35669,38154,19053,45346,49570,39230,44875,22218,18106,23791,27222,29508,24990,36538,30610,20482,36593,34829,72390
Cluster-5009.0,20,45,27,14,30,7,21,62,29,5,24,28,23,11,23,16,24,39,31,6,33
Cluster-5010.0,10,8,12,11,15,27,9,1,1,2,16,10,13,10,2,5,0,1,23,17,0
Cluster-5011.0,2,2,3,0,0,2,2,2,1,0,0,1,7,7,0,0,5,4,0,0,1
Cluster-5012.0,212,168,185,150,137,144,40,229,39,122,292,215,55,93,298,261,145,130,71,304,18
Cluster-5013.0,75,85,106,111,88,66,80,103,81,56,57,73,37,76,110,85,91,112,78,63,360
Cluster-5014.0,2816,4257,3216,1550,1981,2338,1175,3494,1793,2660,4766,6651,1582,3188,6690,3453,2535,4097,1962,4137,618
Cluster-5015.0,3,7,0,2,2,3,0,5,1,0,0,2,0,0,4,1,6,0,3,9,3
Cluster-5016.0,15,15,0,0,0,8,3,2,0,10,11,0,0,0,0,15,4,0,0,5,2
Cluster-5017.0,4,9,1,8,12,7,14,11,8,5,18,12,17,7,9,11,10,27,8,25,15
Cluster-5018.0,1,9,2,5,0,5,3,3,6,9,3,0,0,5,10,0,0,2,5,8,9
Cluster-5019.0,2557,2364,2627,2775,2985,3647,2095,1655,955,2000,4783,2106,1693,3315,2054,4164,3133,2467,1917,4659,1079
Cluster-5020.0,9,2,15,14,11,2,2,6,15,4,0,7,8,9,2,10,6,19,6,1,25
Cluster-5021.0,272960,308118,206513,235387,237591,231275,79268,301544,108991,170264,384325,384981,125428,280800,339310,351891,219658,182773,105188,440666,56547
Cluster-5022.0,1,0,0,0,0,8,0,0,0,4,2,3,0,0,0,3,3,0,0,1,0
Cluster-5023.0,7261,6529,5927,3352,12720,9487,1943,6951,2036,4036,5548,7698,2708,11487,12296,11589,3888,5257,3776,24645,2104
Cluster-5024.0,15,11,2,4,11,7,7,6,0,28,12,18,8,13,31,4,20,8,0,7,0
Cluster-5025.0,41,70,96,108,82,121,138,64,70,39,72,62,56,89,50,81,76,26,42,75,109
Cluster-5026.0,28,46,13,54,16,36,19,26,8,26,52,16,22,45,16,37,36,27,11,45,30
Cluster-5027.0,4,14,25,13,15,6,14,21,55,7,8,10,0,8,28,19,15,11,18,9,15
Cluster-5028.0,79,73,64,115,844,838,258,59,71,257,237,65,74,129,86,268,128,140,123,124,208
Cluster-5029.0,1128,908,684,731,732,556,546,570,413,780,2240,827,505,651,1266,685,1078,932,468,917,317
Cluster-5030.0,10,32,56,13,552,57,80,17,58,36,192,24,91,18,5,25,46,3,39,110,31
Cluster-5031.0,37,60,52,55,83,55,16,61,35,41,55,37,25,67,33,70,77,18,34,64,19
Cluster-5032.0,223,550,196,236,203,186,252,331,219,224,147,170,410,163,143,261,514,241,381,103,223
Cluster-5033.0,27,25,49,35,46,74,49,30,60,26,21,8,13,19,11,48,50,38,24,19,62
Cluster-5034.0,7,6,2,1,1,1,0,0,0,5,0,2,3,5,3,3,9,3,3,5,4
Cluster-5035.0,3,13,4,29,30,42,39,21,8,31,17,8,10,29,30,51,48,10,8,11,24
Cluster-5036.0,1,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0
Cluster-5037.0,9,12,17,9,124,59,32,22,29,24,26,8,26,22,15,46,13,8,22,42,45
Cluster-5038.0,27,53,45,53,121,111,49,31,22,88,88,54,31,70,34,59,35,54,31,96,85
