"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster-1179.0",6.28878934845997,-0.262896522399453,1.32398832549757,-0.19856407895489,0.842603754874644,0.997743869210583
"Cluster-1187.0",6.69445597967329,-1.39099109411336,1.3227173510468,-1.05161627539892,0.292975637579408,0.997743869210583
"Cluster-1189.0",16.0505187822669,-0.978178641798287,0.972753597398568,-1.00557699751944,0.314619093554673,0.997743869210583
"Cluster-1208.0",4.83473337144279,0.40016084454806,1.3744678629279,0.291138742011497,0.770945210797026,0.997743869210583
"Cluster-1213.0",12.2677753926845,0.150021552245545,1.11435164194993,0.134626761067119,0.892906981951176,0.997743869210583
"Cluster-1217.0",15.5229889307957,-0.270829268051654,0.917260322772253,-0.295258893607348,0.767796115559956,0.997743869210583
"Cluster-1248.0",16.7463977333034,1.20293282462875,0.715808390601611,1.68052350380767,0.0928555052322987,0.997743869210583
"Cluster-1255.0",267.168846062147,-0.0816425369822982,1.97607187442208,-0.0413155705716297,0.967044320147889,0.998794292653611
"Cluster-1256.0",7.47789608033083,-0.442433004525626,0.729464389294532,-0.606517618980009,0.544171086209743,0.997743869210583
"Cluster-1270.0",9.2569095760853,0.178726670300405,0.922048478185254,0.193836522188257,0.846303888752563,0.997743869210583
"Cluster-1273.0",19.958875722382,0.357662947542869,0.875233633472629,0.408648541217257,0.682797602552627,0.997743869210583
"Cluster-1274.0",12.1572581556461,0.456742282304594,0.965214069663894,0.473203092101258,0.636068291952787,0.997743869210583
"Cluster-1276.0",8.10103318895876,0.050596389117873,0.817237347567249,0.0619114988668693,0.950633310294818,0.998794292653611
"Cluster-1279.0",17.2848579511634,-0.853722939253412,1.08585708730406,-0.786220350021396,0.431738405980851,0.997743869210583
"Cluster-1301.0",12.7019173056236,-0.167624845049333,0.99429268674412,-0.168587024006213,0.866121487807309,0.997743869210583
"Cluster-1303.0",4.50901285642515,1.23287051778775,1.35442044011396,0.910256875393886,0.362687055677985,0.997743869210583
"Cluster-1305.0",56.6285454695703,-0.428754439456437,0.955680867571977,-0.448637671847234,0.653693053497033,0.997743869210583
"Cluster-1314.0",14.8710562874039,0.882141360748675,0.606631900525586,1.45416249950652,0.145901259144782,0.997743869210583
"Cluster-1329.0",15.3596268454068,-0.538287953887119,1.05205917893279,-0.511651782205978,0.608894737822947,0.997743869210583
"Cluster-1337.0",17.3677767199881,-0.135898178840559,0.728594839646117,-0.186520918685844,0.852036275952943,0.997743869210583
"Cluster-1349.0",10.6761977013818,-0.252319239736478,0.802650685864408,-0.314357471039528,0.753249553231881,0.997743869210583
"Cluster-1359.0",13.8767741174493,-0.987398838659314,1.03438037113468,-0.954580023184483,0.3397901234874,0.997743869210583
"Cluster-1373.0",6.66967073412879,1.19358694656909,0.999711514733514,1.19393137818089,0.232504812048658,0.997743869210583
"Cluster-1374.0",7.25099700871038,0.966640639815217,1.30735197422482,0.739388212870813,0.459671297666633,0.997743869210583
"Cluster-1376.0",7.19333660154721,0.289089845138371,0.975772027022136,0.296267813723475,0.767025564074123,0.997743869210583
"Cluster-1395.0",17.4935367299515,-0.136315740205735,0.77680547409148,-0.175482466012697,0.860700547099762,0.997743869210583
"Cluster-1398.0",6.72694751198368,0.538207118979552,0.69754208966623,0.771576549935619,0.440365267594586,0.997743869210583
"Cluster-1403.0",8.20269792902771,0.825960022835459,1.07474075579793,0.76852023930388,0.442178171154228,0.997743869210583
"Cluster-1428.0",19.6507256131877,-0.610773203126499,1.15111736946158,-0.530591596764958,0.595701820106463,0.997743869210583
"Cluster-1430.0",9.82744845191162,0.0235142046483443,1.02144116403033,0.0230206158478709,0.981633828237443,0.998794292653611
"Cluster-1458.0",14.6361013618007,1.02501780878038,0.791154389830843,1.29559770122687,0.195114121522438,0.997743869210583
"Cluster-1466.0",8.93284236927595,0.566406302543565,0.702753979682617,0.80598092493104,0.420253847837995,0.997743869210583
